Ride,"Overall average queue time, mins"
TURBO DRIVE,65
Tchibum,56
Tigor Mountain,45
Star Mountain,44
SPIN BLAST,39
Raskapuska,38
Ferrovia DinoMagic,33
Madagascar Crazy River Adventure!,30
FireWhip,29
Big Drop,28
Rebuliço,26
Roda-Gigante,26
Autopista (bate-bate),17
SUPER SOAKER SPLASH,13
Baby Elefante,11
Barco Pirata,10
Montanha-russa Dum Dum,10
Xícaras Malucas,7
Betinho Carrero 2D,6
Carrossel Veneziano,6
