Day,"Crowd level, %"
"January 25, 2026",99
"January 07, 2026",96
"January 06, 2026",95
"January 21, 2026",90
"January 09, 2026",90
"April 19, 2026",89
"January 14, 2026",89
"February 22, 2026",88
"April 20, 2026",87
"January 08, 2026",87
