Day,"Crowd level, %"
"May 31, 2023",0
"May 30, 2023",0
"May 29, 2023",0
"May 17, 2023",0
"November 01, 2022",0
"October 04, 2023",0
"April 06, 2026",0
"November 02, 2022",0
"June 05, 2025",0
"June 26, 2025",0
