Day,"Crowd level, %"
"October 26, 2025",100
"July 15, 2025",99
"July 30, 2023",99
"December 30, 2022",99
"November 16, 2024",99
"October 29, 2022",99
"November 21, 2025",99
"August 20, 2023",99
"September 08, 2023",99
"September 15, 2023",99
