Ride,"Average maximum queue time, mins"
TURBO DRIVE,124
Tigor Mountain,92
SPIN BLAST,90
Tchibum,86
Raskapuska,84
Star Mountain,79
FireWhip,72
Roda-Gigante,70
Ferrovia DinoMagic,68
Big Drop,64
Madagascar Crazy River Adventure!,57
Rebuliço,57
Autopista (bate-bate),49
Baby Elefante,31
Montanha-russa Dum Dum,29
SUPER SOAKER SPLASH,27
Barco Pirata,23
Xícaras Malucas,20
Carrossel Veneziano,12
Betinho Carrero 2D,8
